#time(100ms)	MEM_LOAD_MISC_RETIRED:LLC_MISS	CPU_CLK_UNHALTED:THREAD_P
10	220	78081
20	1314	29695592
30	5695	75748389
40	7691	114519718
50	8899	138452692
60	10513	160580689
70	12449	198631812
80	16657	252113932
90	20138	308272577
100	22632	347477048
110	25819	391739575
120	28361	434735976
130	29545	470114346
140	31095	505167527
150	32175	535569544
160	33427	560735361
170	34788	589503151
180	35967	618344420
190	36810	639732058
200	37774	660658053
210	38859	682403006
220	39738	704513277
230	40557	719059262
240	41314	739118231
250	42081	762736757
260	42636	781313455
270	43497	799183449
280	44403	814312009
290	45257	832482286
300	46237	863829502
310	47408	896563183
320	48759	920589890
330	49912	944454252
340	51400	982673691
350	52565	1012030082
360	53466	1035853158
370	54072	1053765951
380	54983	1070335749
390	55817	1083159724
400	56483	1103973054
410	57458	1125255972
420	58352	1146717562
430	58930	1168588767
440	59790	1183651960
450	60680	1201344295
460	62200	1228651896
470	63884	1251746898
480	64270	1267096679
490	65298	1281470201
500	65975	1300515935
510	67446	1329608715
520	69776	1374455642
530	73746	1428873485
540	77540	1483696019
550	81569	1538014803
560	85548	1591197272
570	89004	1645759731
580	92452	1700515195
590	95971	1746554133
600	97870	1780840041
610	98570	1799236459
620	99812	1827145275
630	101102	1850228118
640	101960	1872184595
650	103062	1899667083
660	103541	1917288522
670	104954	1943868636
680	106752	1984337248
690	107810	2007183130
700	108229	2009448621
710	108232	2009456204
720	108800	2025903287
730	111062	2048982273
740	112782	2075565344
750	115258	2121243134
760	119017	2175594791
770	122028	2220055840
780	122031	2220063890
790	122037	2220072123
800	122042	2220079895
810	124862	2256977749
820	126297	2284179435
830	126301	2284187274
840	126304	2284194971
850	126907	2303180499
860	128961	2334706877
870	132191	2386666966
880	133565	2418474450
890	135408	2450524818
900	135412	2450533168
910	135935	2457588018
920	136803	2473771388
930	137525	2493768682
940	138654	2519429388
950	142607	2566094104
960	144691	2597890910
970	146645	2640645913
980	150016	2695815912
990	153102	2734967332
1000	153338	2736341685
1010	155113	2774334536
1020	155527	2778198321
1030	155531	2778205993
1040	155535	2778213804
1050	155539	2778221601
1060	155543	2778229247
1070	155547	2778236938
1080	156245	2795777042
1090	158723	2839673864
1100	160213	2863626940
1110	162046	2902788574
1120	166142	2947056919
1130	169761	3000995406
1140	173007	3056427729
1150	173633	3073068251
1160	173636	3073076304
1170	173641	3073084938
1180	173644	3073093047
1190	173647	3073100889
1200	173650	3073108487
1210	173653	3073116041
1220	173656	3073123593
1230	173659	3073131145
1240	175188	3095003784
1250	176123	3118113963
1260	178907	3159474089
1270	180589	3191690446
1280	183023	3233677507
1290	184591	3268575815
1300	186380	3299857342
1310	187636	3338399321
1320	188678	3361817494
1330	188691	3361825465
1340	188695	3361833132
1350	188699	3361840833
1360	188703	3361848467
1370	188707	3361856147
1380	188710	3361864850
1390	189531	3374324593
1400	190685	3394969663
1410	192077	3431051513
1420	193659	3461199922
1430	195082	3493703763
1440	196482	3530975154
1450	197867	3558149085
1460	199145	3594701598
1470	200012	3617830405
1480	200892	3638350183
1490	202145	3657718271
1500	203422	3694400320
1510	204811	3719194233
1520	206447	3763152570
