#time(100ms)	MEM_LOAD_MISC_RETIRED:LLC_MISS	CPU_CLK_UNHALTED:THREAD_P
10	126	101409
20	1702	45337789
30	3668	107146254
40	5715	168104505
50	7899	227649869
60	9926	282611794
70	10687	339948937
80	11933	402288253
90	13964	463505583
100	15968	524397690
110	18044	585345514
120	19837	647433606
130	21824	708454072
140	23903	768842465
150	25662	830076903
160	27771	890891728
170	30033	951160197
180	31785	1012307125
190	33708	1072950078
200	35629	1133585868
210	37708	1194065700
220	39672	1254937808
230	41331	1316627652
240	43189	1376794947
250	45201	1432797214
260	46932	1490942221
270	48626	1552564456
280	50482	1613315905
290	52414	1673950987
300	54282	1734431174
310	55921	1796222092
320	58094	1856204552
330	59722	1917835065
340	61590	1978790643
350	63199	2040610559
360	65107	2100820164
370	67239	2162427213
380	69121	2222668301
390	71016	2283571017
400	72864	2344367864
410	74677	2404991687
420	76754	2465362851
430	78630	2526371876
440	80400	2588039383
450	82047	2649812198
460	83729	2711022418
470	85576	2771324480
480	87049	2832963869
490	88929	2893786917
500	90253	2956267900
510	92001	3017070008
520	93566	3079066256
530	95471	3140315526
540	97084	3202588131
550	98713	3264365671
560	100780	3325025137
570	102393	3386114345
580	104025	3447977995
590	105952	3508565362
600	107567	3570788379
610	109133	3632760750
620	111032	3693195698
630	113030	3753986773
640	114593	3815593814
650	116177	3877788911
660	118031	3938434606
670	120077	3998807033
680	121720	4060260733
690	123723	4120545689
700	125403	4180886944
710	127134	4242110949
720	129162	4302068734
730	131182	4362817124
740	132749	4424634592
750	134861	4484819729
760	136564	4546179216
770	138394	4606844327
780	140056	4667606224
790	141979	4728380447
800	143594	4790449410
810	145368	4850354438
820	147432	4910992410
830	149313	4970989726
840	151150	5031407977
850	153052	5092157103
860	155166	5152029362
870	157064	5211494428
880	158997	5271404522
890	160812	5330059389
900	162605	5389888392
910	164535	5450787398
920	166309	5510849512
930	168111	5571233989
940	170018	5632067148
950	171809	5692742460
960	173607	5753818435
970	175379	5814387844
980	176952	5875786632
990	179115	5935047363
1000	180730	5996650315
1010	182541	6057721188
1020	184358	6119353542
1030	186446	6179217885
1040	188259	6234934766
1050	190480	6295794134
1060	192252	6357854707
1070	194501	6417715805
1080	196547	6478117099
1090	198507	6538355369
1100	200594	6597975337
1110	201980	6625286708
1120	203598	6668760109
1130	205026	6703771108
1140	206479	6741459362
1150	208234	6780419290
1160	209469	6816699806
1170	210797	6862376493
1180	212176	6901495315
1190	213446	6937103025
1200	214727	6971566216
1210	215787	7005424218
1220	217078	7036008111
1230	218536	7080513895
1240	219536	7111728963
1250	221469	7151379076
1260	222919	7188326671
1270	224416	7219841999
1280	225776	7263004614
1290	227196	7297526335
1300	228566	7329240602
1310	230136	7361727720
1320	231917	7399974919
1330	233356	7441704660
1340	235339	7489455174
1350	237473	7549511892
1360	239980	7608115729
1370	241915	7668522109
1380	244269	7726860297
1390	246459	7785932610
1400	248483	7846306461
1410	250260	7907064296
