#time(ms)	MEM_LOAD_MISC_RETIRED:LLC_MISS	CPU_CLK_UNHALTED:THREAD_P
10	45474	652852269
20	80812	25226720
30	83532	25020814
40	83647	25004465
50	83565	25032264
60	83679	25021236
70	83109	25041819
80	83688	25017852
90	83517	24983198
100	83484	25041732
110	58703	34000464
120	56103	34093272
130	57246	34064806
140	56037	34083628
150	57062	34074762
160	56106	34078291
170	56564	34079118
180	56463	34074107
190	56745	34077741
200	57055	34079122
210	56260	34078697
220	56696	34080135
230	56712	34075810
240	56484	34079562
250	56221	34080065
260	57144	34077722
270	55568	34078579
280	57504	34078461
290	56529	34079244
300	56388	34075967
310	56718	34079073
320	56325	34079176
330	56522	34074602
340	56601	34079611
350	57300	34080793
360	56407	34078446
370	56934	34070925
380	56050	34078617
390	56832	34080059
400	56570	34079042
410	56768	34079451
420	56358	34082439
430	56355	34077577
440	56465	34093907
450	56914	34058081
460	56409	34079432
470	57115	34078774
480	56320	34053399
490	56166	34079323
500	56457	34072855
510	56713	34079109
520	56631	34082296
530	56742	34077492
540	56465	34080830
