time(100ms)	MEM_LOAD_MISC_RETIRED:LLC_MISS	CPU_CLK_UNHALTED:THREAD_P
100	359	76994
200	132491	1331587739
300	303911	2692978259
400	471250	4054412715
500	675234	5415954034
600	870618	6777391231
700	1071706	8133101615
800	1272732	9494449178
900	1504365	10855859851
1000	1740788	12217436275
1100	1982464	13578992030
1200	2179027	14940302500
1300	2401117	16301814650
1400	2627873	17662745290
1500	2842908	19024233584
1600	3018589	20385777948
1700	3195012	21747027488
1800	3376305	23108772837
1900	3556230	24470609286
2000	3736529	25832362279
2100	3905252	27194061068
2200	4124041	28555073263
2300	4367397	29915730540
2400	4615836	31276987020
2500	4863564	32638428366
2600	5112540	33999827028
2700	5358460	35360902013
2800	5609048	36722350655
2900	5855945	38083943961
3000	6099958	39445391997
3100	6345508	40806973565
3200	6586939	42168327942
3300	6838310	43529608508
3400	7087479	44890719750
3500	7333619	46252113642
3600	7574962	47613585784
3700	7820850	48974739525
3800	8066157	50336316852
3900	8310848	51697978529
4000	8553977	53059689769
4100	8804951	54421399974
4200	9050029	55782775826
4300	9289856	57143766378
4400	9451183	58505303313
4500	9621625	59866772370
4600	9796953	61228190534
4700	9972056	62589482539
4800	10149368	63950536385
4900	10356635	65312197401
5000	10554414	66673912676
5100	10771578	68035592783
5200	10966374	69396972079
5300	11132544	70758318017
5400	11330702	72119290064
5500	11505255	73480616841
5600	11682245	74841962436
5700	11855636	76202949751
5800	12026167	77564295351
5900	12249266	78925884526
6000	12472132	80287351737
6100	12720884	81648782996
6200	12967979	83009818740
6300	13211357	84369780329
6400	13448025	85725731638
6500	13691659	87087059723
6600	13935177	88448525578
6700	14173708	89809705303
6800	14415610	91171197468
6900	14659930	92532833581
7000	14899951	93894438515
7100	15138405	95256003611
7200	15383237	96617365298
7300	15633364	97978617039
7400	15882292	99339672963
7500	16131567	100701018139
7600	16326472	102062469570
7700	16549351	103423590108
7800	16754986	104784884386
7900	16963281	106146398588
8000	17163504	107507985050
8100	17383076	108869629235
8200	17563870	110180859243
